year,iso3,var,element,settlement,dist,value
latest,USA,incomecat,capital,rural,D2,7.43
latest,USA,incomecat,capital,urban,D3,1.64
latest,USA,incomecat,capital,rural,D3,21.74
latest,USA,incomecat,capital,urban,D4,8.04
latest,USA,incomecat,capital,rural,D4,9.86
latest,USA,incomecat,capital,urban,D5,3.94
latest,USA,incomecat,capital,rural,D5,1.34
latest,USA,incomecat,capital,urban,D6,10.54
latest,USA,incomecat,capital,rural,D6,9.26
latest,USA,incomecat,capital,urban,D7,12.41
latest,USA,incomecat,capital,rural,D7,0.33
latest,USA,incomecat,capital,urban,D8,4.71
latest,USA,incomecat,capital,rural,D8,12.5
latest,USA,incomecat,capital,urban,D9,4.57
latest,USA,incomecat,capital,rural,D9,4.19
latest,USA,incomecat,capital,urban,D10,1.33
latest,USA,incomecat,capital,rural,D10,7.55
latest,USA,incomecat,transfers,urban,D1,30.61
latest,USA,incomecat,transfers,rural,D1,35.63
latest,USA,incomecat,transfers,urban,D2,18.42
latest,USA,incomecat,transfers,rural,D2,22.63
latest,USA,incomecat,transfers,urban,D3,16.91
latest,USA,incomecat,transfers,rural,D3,16.77
latest,USA,incomecat,transfers,urban,D4,29.28
latest,USA,incomecat,transfers,rural,D4,33.23
latest,USA,incomecat,transfers,urban,D5,12.13
latest,USA,incomecat,transfers,rural,D5,10.23
latest,USA,incomecat,transfers,urban,D6,4.79
latest,USA,incomecat,transfers,rural,D6,7.26
latest,USA,incomecat,transfers,urban,D7,1.34
latest,USA,incomecat,transfers,rural,D7,2.34
latest,USA,incomecat,transfers,urban,D8,5.57
latest,USA,incomecat,transfers,rural,D8,4.22
latest,USA,incomecat,transfers,urban,D9,1.23
latest,USA,incomecat,transfers,rural,D9,1.03
latest,USA,incomecat,transfers,urban,D10,1.67
latest,USA,incomecat,transfers,rural,D10,1.01
latest,USA,incomecat,other,urban,D1,27.21
latest,USA,incomecat,other,rural,D1,36.8
latest,USA,incomecat,other,urban,D2,40.33
latest,USA,incomecat,other,rural,D2,47.36
latest,USA,incomecat,other,urban,D3,31.78
latest,USA,incomecat,other,rural,D3,33.27
latest,USA,incomecat,other,urban,D4,3.12
latest,USA,incomecat,other,rural,D4,17.41
latest,USA,incomecat,other,urban,D5,11.52
latest,USA,incomecat,other,rural,D5,37.88
latest,USA,incomecat,other,urban,D6,7.59
latest,USA,incomecat,other,rural,D6,36.13
latest,USA,incomecat,other,urban,D7,1.39
latest,USA,incomecat,other,rural,D7,31.86
latest,USA,incomecat,other,urban,D8,6.73
latest,USA,incomecat,other,rural,D8,2.49
latest,USA,incomecat,other,urban,D9,7.29
latest,USA,incomecat,other,rural,D9,6.92
latest,USA,incomecat,other,urban,D10,6.24
latest,USA,incomecat,other,rural,D10,17.12
latest,USA,savings_rate,,urban,D1,-37.39
latest,USA,savings_rate,,rural,D1,-25.1
latest,USA,savings_rate,,urban,D2,11.3
latest,USA,savings_rate,,rural,D2,20.21
latest,USA,savings_rate,,urban,D3,25.64
latest,USA,savings_rate,,rural,D3,21.84
latest,USA,savings_rate,,urban,D4,40.27
latest,USA,savings_rate,,rural,D4,42.87
latest,USA,savings_rate,,urban,D5,46.15
latest,USA,savings_rate,,rural,D5,28.49
latest,USA,savings_rate,,urban,D6,51.26
latest,USA,savings_rate,,rural,D6,49.74
latest,USA,savings_rate,,urban,D7,54.06
latest,USA,savings_rate,,rural,D7,50.73
latest,USA,savings_rate,,urban,D8,57.38
latest,USA,savings_rate,,rural,D8,53.15
latest,USA,savings_rate,,urban,D9,64.77
latest,USA,savings_rate,,rural,D9,61.56
latest,USA,savings_rate,,urban,D10,69.23
latest,USA,savings_rate,,rural,D10,74.59
latest,USA,educat,No education,urban,D1,0.44
latest,USA,educat,No education,rural,D1,0
latest,USA,educat,No education,urban,D2,0.66
latest,USA,educat,No education,rural,D2,0
latest,USA,educat,No education,urban,D3,0
latest,USA,educat,No education,rural,D3,3.23
latest,USA,educat,No education,urban,D4,0.64
latest,USA,educat,No education,rural,D4,0
latest,USA,educat,No education,urban,D5,0.67
latest,USA,educat,No education,rural,D5,0
latest,USA,educat,No education,urban,D6,0.23
latest,USA,educat,No education,rural,D6,0
latest,USA,educat,No education,urban,D7,0
latest,USA,educat,No education,rural,D7,0
latest,USA,educat,No education,urban,D8,0.22
latest,USA,educat,No education,rural,D8,0
latest,USA,educat,No education,urban,D9,0
latest,USA,educat,No education,rural,D9,0
latest,USA,educat,No education,urban,D10,0
latest,USA,educat,No education,rural,D10,0
latest,USA,educat,Primary Education,urban,D1,3.96
latest,USA,educat,Primary Education,rural,D1,3.12
latest,USA,educat,Primary Education,urban,D2,3.53
latest,USA,educat,Primary Education,rural,D2,0
latest,USA,educat,Primary Education,urban,D3,3.08
latest,USA,educat,Primary Education,rural,D3,0
latest,USA,educat,Primary Education,urban,D4,4.26
latest,USA,educat,Primary Education,rural,D4,0
latest,USA,educat,Primary Education,urban,D5,2.68
latest,USA,educat,Primary Education,rural,D5,0
latest,USA,educat,Primary Education,urban,D6,1.81
latest,USA,educat,Primary Education,rural,D6,3.23
latest,USA,educat,Primary Education,urban,D7,1.1
latest,USA,educat,Primary Education,rural,D7,0
latest,USA,educat,Primary Education,urban,D8,1.11
latest,USA,educat,Primary Education,rural,D8,3.23
latest,USA,educat,Primary Education,urban,D9,0.22
latest,USA,educat,Primary Education,rural,D9,9.68
latest,USA,educat,Primary Education,urban,D10,0.22
latest,USA,educat,Primary Education,rural,D10,3.23
latest,USA,educat,Secondary Education,urban,D1,76.65
latest,USA,educat,Secondary Education,rural,D1,84.38
latest,USA,educat,Secondary Education,urban,D2,75.28
latest,USA,educat,Secondary Education,rural,D2,87.1
latest,USA,educat,Secondary Education,urban,D3,72.03
latest,USA,educat,Secondary Education,rural,D3,90.32
latest,USA,educat,Secondary Education,urban,D4,67.87
latest,USA,educat,Secondary Education,rural,D4,93.75
latest,USA,educat,Secondary Education,urban,D5,59.28
latest,USA,educat,Secondary Education,rural,D5,74.19
latest,USA,educat,Secondary Education,urban,D6,57.34
latest,USA,educat,Secondary Education,rural,D6,64.52
latest,USA,educat,Secondary Education,urban,D7,49.89
latest,USA,educat,Secondary Education,rural,D7,53.12
latest,USA,educat,Secondary Education,urban,D8,43.14
latest,USA,educat,Secondary Education,rural,D8,67.74
latest,USA,educat,Secondary Education,urban,D9,37.36
latest,USA,educat,Secondary Education,rural,D9,41.94
latest,USA,educat,Secondary Education,urban,D10,23.06
latest,USA,educat,Secondary Education,rural,D10,45.16
latest,USA,educat,Tertiary Education,urban,D1,18.94
latest,USA,educat,Tertiary Education,rural,D1,12.5
latest,USA,educat,Tertiary Education,urban,D2,20.53
latest,USA,educat,Tertiary Education,rural,D2,12.9
latest,USA,educat,Tertiary Education,urban,D3,24.89
latest,USA,educat,Tertiary Education,rural,D3,6.45
latest,USA,educat,Tertiary Education,urban,D4,27.23
latest,USA,educat,Tertiary Education,rural,D4,6.25
latest,USA,educat,Tertiary Education,urban,D5,37.36
latest,USA,educat,Tertiary Education,rural,D5,25.81
latest,USA,educat,Tertiary Education,urban,D6,40.63
latest,USA,educat,Tertiary Education,rural,D6,32.26
latest,USA,educat,Tertiary Education,urban,D7,49.01
latest,USA,educat,Tertiary Education,rural,D7,46.88
latest,USA,educat,Tertiary Education,urban,D8,55.53
latest,USA,educat,Tertiary Education,rural,D8,29.03
latest,USA,educat,Tertiary Education,urban,D9,62.42
latest,USA,educat,Tertiary Education,rural,D9,48.39
latest,USA,educat,Tertiary Education,urban,D10,76.72
latest,USA,educat,Tertiary Education,rural,D10,51.61
latest,USA,inequality_index,gini,urban,0,0.47
latest,USA,inequality_index,gini,rural,0,0.45
latest,USA,inequality_index,absolute_poverty,urban,0,19.5
latest,USA,inequality_index,absolute_poverty,rural,0,24.39
latest,USA,household_size,,urban,D1,1.52
latest,USA,household_size,,rural,D1,1.47
latest,USA,household_size,,urban,D2,1.67
latest,USA,household_size,,rural,D2,1.42
latest,USA,household_size,,urban,D3,1.98
latest,USA,household_size,,rural,D3,1.81
latest,USA,household_size,,urban,D4,2.19
latest,USA,household_size,,rural,D4,2.13
latest,USA,household_size,,urban,D5,2.34
latest,USA,household_size,,rural,D5,2.06
latest,USA,household_size,,urban,D6,2.59
latest,USA,household_size,,rural,D6,2.55
latest,USA,household_size,,urban,D7,2.84
latest,USA,household_size,,rural,D7,2.81
latest,USA,household_size,,urban,D8,2.96
latest,USA,household_size,,rural,D8,2.77
latest,USA,household_size,,urban,D9,3.05
latest,USA,household_size,,rural,D9,3.42
latest,USA,household_size,,urban,D10,3.18
latest,USA,household_size,,rural,D10,3.29
latest,USA,expenditure_decile,,urban,D1,1.6
latest,USA,expenditure_decile,,rural,D1,1.76
latest,USA,expenditure_decile,,urban,D2,2.82
latest,USA,expenditure_decile,,rural,D2,3.12
latest,USA,expenditure_decile,,urban,D3,3.9
latest,USA,expenditure_decile,,rural,D3,4.22
latest,USA,expenditure_decile,,urban,D4,5.03
latest,USA,expenditure_decile,,rural,D4,5.16
latest,USA,expenditure_decile,,urban,D5,6.29
latest,USA,expenditure_decile,,rural,D5,6.33
latest,USA,expenditure_decile,,urban,D6,7.81
latest,USA,expenditure_decile,,rural,D6,8.15
latest,USA,expenditure_decile,,urban,D7,9.75
latest,USA,expenditure_decile,,rural,D7,9.63
latest,USA,expenditure_decile,,urban,D8,12.43
latest,USA,expenditure_decile,,rural,D8,12.79
latest,USA,expenditure_decile,,urban,D9,16.69
latest,USA,expenditure_decile,,rural,D9,17.11
latest,USA,expenditure_decile,,urban,D10,33.68
latest,USA,expenditure_decile,,rural,D10,31.72
latest,USA,income_decile,,urban,D1,0.93
latest,USA,income_decile,,rural,D1,1.37
latest,USA,income_decile,,urban,D2,2.28
latest,USA,income_decile,,rural,D2,2.41
latest,USA,income_decile,,urban,D3,3.51
latest,USA,income_decile,,rural,D3,3.63
latest,USA,income_decile,,urban,D4,4.98
latest,USA,income_decile,,rural,D4,5.23
latest,USA,income_decile,,urban,D5,6.2
latest,USA,income_decile,,rural,D5,6.43
latest,USA,income_decile,,urban,D6,7.95
latest,USA,income_decile,,rural,D6,7.98
latest,USA,income_decile,,urban,D7,10.36
latest,USA,income_decile,,rural,D7,10.43
latest,USA,income_decile,,urban,D8,13
latest,USA,income_decile,,rural,D8,13.69
latest,USA,income_decile,,urban,D9,17.86
latest,USA,income_decile,,rural,D9,17.71
latest,USA,income_decile,,urban,D10,32.93
latest,USA,income_decile,,rural,D10,31.13
latest,CHN,expcat_input,food,urban,D1,35.25476
latest,CHN,expcat_input,food,rural,D1,35.32998
latest,CHN,expcat_input,food,urban,D2,34.37185
latest,CHN,expcat_input,food,rural,D2,34.61991
latest,CHN,expcat_input,food,urban,D3,34.03131
latest,CHN,expcat_input,food,rural,D3,33.86406
latest,CHN,expcat_input,food,urban,D4,34.15888
latest,CHN,expcat_input,food,rural,D4,32.58904
latest,CHN,expcat_input,food,urban,D5,33.16619
latest,CHN,expcat_input,food,rural,D5,33.85204
latest,CHN,expcat_input,food,urban,D6,33.48639
latest,CHN,expcat_input,food,rural,D6,33.11628
latest,CHN,expcat_input,food,urban,D7,33.61286
latest,CHN,expcat_input,food,rural,D7,31.00484
latest,CHN,expcat_input,food,urban,D8,32.32259
latest,CHN,expcat_input,food,rural,D8,31.76866
latest,CHN,expcat_input,food,urban,D9,29.7827
latest,CHN,expcat_input,food,rural,D9,29.4994
latest,CHN,expcat_input,food,urban,D10,25.8217
latest,CHN,expcat_input,food,rural,D10,29.28394
latest,CHN,expcat_input,energy_housing,urban,D1,24.85454
latest,CHN,expcat_input,energy_housing,rural,D1,23.367
latest,CHN,expcat_input,energy_housing,urban,D2,24.72686
latest,CHN,expcat_input,energy_housing,rural,D2,21.84712
latest,CHN,expcat_input,energy_housing,urban,D3,25.19093
latest,CHN,expcat_input,energy_housing,rural,D3,22.66928
latest,CHN,expcat_input,energy_housing,urban,D4,22.71824
latest,CHN,expcat_input,energy_housing,rural,D4,21.40561
latest,CHN,expcat_input,energy_housing,urban,D5,23.75243
latest,CHN,expcat_input,energy_housing,rural,D5,20.14958
latest,CHN,expcat_input,energy_housing,urban,D6,23.28499
latest,CHN,expcat_input,energy_housing,rural,D6,21.09469
latest,CHN,expcat_input,energy_housing,urban,D7,23.7362
latest,CHN,expcat_input,energy_housing,rural,D7,21.30065
latest,CHN,expcat_input,energy_housing,urban,D8,23.56487
latest,CHN,expcat_input,energy_housing,rural,D8,20.70122
latest,CHN,expcat_input,energy_housing,urban,D9,23.99651
latest,CHN,expcat_input,energy_housing,rural,D9,22.32609
latest,CHN,expcat_input,energy_housing,urban,D10,24.34183
latest,CHN,expcat_input,energy_housing,rural,D10,20.30708
latest,CHN,expcat_input,energy_transportation,urban,D1,7.9942
latest,CHN,expcat_input,energy_transportation,rural,D1,9.56045
latest,CHN,expcat_input,energy_transportation,urban,D2,8.33328
latest,CHN,expcat_input,energy_transportation,rural,D2,10.49248
latest,CHN,expcat_input,energy_transportation,urban,D3,8.06059
latest,CHN,expcat_input,energy_transportation,rural,D3,10.6267
latest,CHN,expcat_input,energy_transportation,urban,D4,9.68467
latest,CHN,expcat_input,energy_transportation,rural,D4,12.23842
latest,CHN,expcat_input,energy_transportation,urban,D5,10.30118
latest,CHN,expcat_input,energy_transportation,rural,D5,12.74235
latest,CHN,expcat_input,energy_transportation,urban,D6,11.64716
latest,CHN,expcat_input,energy_transportation,rural,D6,13.30348
latest,CHN,expcat_input,energy_transportation,urban,D7,11.41762
latest,CHN,expcat_input,energy_transportation,rural,D7,15.71104
latest,CHN,expcat_input,energy_transportation,urban,D8,12.00031
latest,CHN,expcat_input,energy_transportation,rural,D8,14.79584
latest,CHN,expcat_input,energy_transportation,urban,D9,12.99344
latest,CHN,expcat_input,energy_transportation,rural,D9,15.36234
latest,CHN,expcat_input,energy_transportation,urban,D10,14.49896
latest,CHN,expcat_input,energy_transportation,rural,D10,18.23955
latest,CHN,incomecat,other,urban,D1,
latest,CHN,incomecat,other,rural,D1,
latest,CHN,incomecat,other,urban,D2,
latest,CHN,incomecat,other,rural,D2,
latest,CHN,incomecat,other,urban,D3,
latest,CHN,incomecat,other,rural,D3,
latest,CHN,incomecat,other,urban,D4,
latest,CHN,incomecat,other,rural,D4,
latest,CHN,incomecat,other,urban,D5,
latest,CHN,incomecat,other,rural,D5,
latest,CHN,incomecat,other,urban,D6,
latest,CHN,incomecat,other,rural,D6,
latest,CHN,incomecat,other,urban,D7,
latest,CHN,incomecat,other,rural,D7,
latest,CHN,incomecat,other,urban,D8,
latest,CHN,incomecat,other,rural,D8,
latest,CHN,incomecat,other,urban,D9,
latest,CHN,incomecat,other,rural,D9,
latest,CHN,incomecat,other,urban,D10,
latest,CHN,incomecat,other,rural,D10,
latest,CHN,incomecat,labour,urban,D1,48.89413
latest,CHN,incomecat,labour,rural,D1,64.42484
latest,CHN,incomecat,labour,urban,D2,72.68985
latest,CHN,incomecat,labour,rural,D2,64.83063
latest,CHN,incomecat,labour,urban,D3,68.81272
latest,CHN,incomecat,labour,rural,D3,72.84417
latest,CHN,incomecat,labour,urban,D4,75.31982
latest,CHN,incomecat,labour,rural,D4,77.48792
latest,CHN,incomecat,labour,urban,D5,77.08037
latest,CHN,incomecat,labour,rural,D5,79.03179
latest,CHN,incomecat,labour,urban,D6,78.37976
latest,CHN,incomecat,labour,rural,D6,82.07502
latest,CHN,incomecat,labour,urban,D7,77.26237
latest,CHN,incomecat,labour,rural,D7,80.16914
latest,CHN,incomecat,labour,urban,D8,77.20503
latest,CHN,incomecat,labour,rural,D8,77.62969
latest,CHN,incomecat,labour,urban,D9,79.51004
latest,CHN,incomecat,labour,rural,D9,77.86016
latest,CHN,incomecat,labour,urban,D10,83.13786
latest,CHN,incomecat,labour,rural,D10,79.35181
latest,CHN,incomecat,capital,urban,D1,11.70902
latest,CHN,incomecat,capital,rural,D1,5.02512
latest,CHN,incomecat,capital,urban,D2,9.5223
latest,CHN,incomecat,capital,rural,D2,2.00445
latest,CHN,incomecat,capital,urban,D3,10.07305
latest,CHN,incomecat,capital,rural,D3,1.80308
latest,CHN,incomecat,capital,urban,D4,7.95053
latest,CHN,incomecat,capital,rural,D4,2.08899
latest,CHN,incomecat,capital,urban,D5,8.33877
latest,CHN,incomecat,capital,rural,D5,2.66781
latest,CHN,incomecat,capital,urban,D6,8.22403
latest,CHN,incomecat,capital,rural,D6,2.85069
latest,CHN,incomecat,capital,urban,D7,8.66379
latest,CHN,incomecat,capital,rural,D7,3.28773
latest,CHN,incomecat,capital,urban,D8,8.81822
latest,CHN,incomecat,capital,rural,D8,3.49452
latest,CHN,incomecat,capital,urban,D9,9.92369
latest,CHN,incomecat,capital,rural,D9,4.74457
latest,CHN,incomecat,capital,urban,D10,10.40364
latest,CHN,incomecat,capital,rural,D10,7.21611
latest,CHN,incomecat,transfers,urban,D1,39.39685
latest,CHN,incomecat,transfers,rural,D1,30.55004
latest,CHN,incomecat,transfers,urban,D2,17.78785
latest,CHN,incomecat,transfers,rural,D2,33.16492
latest,CHN,incomecat,transfers,urban,D3,21.11424
latest,CHN,incomecat,transfers,rural,D3,25.35275
latest,CHN,incomecat,transfers,urban,D4,16.72965
latest,CHN,incomecat,transfers,rural,D4,20.42308
latest,CHN,incomecat,transfers,urban,D5,14.58085
latest,CHN,incomecat,transfers,rural,D5,18.3004
latest,CHN,incomecat,transfers,urban,D6,13.39621
latest,CHN,incomecat,transfers,rural,D6,15.07428
latest,CHN,incomecat,transfers,urban,D7,14.07384
latest,CHN,incomecat,transfers,rural,D7,16.54313
latest,CHN,incomecat,transfers,urban,D8,13.97675
latest,CHN,incomecat,transfers,rural,D8,18.87578
latest,CHN,incomecat,transfers,urban,D9,10.56627
latest,CHN,incomecat,transfers,rural,D9,17.39528
latest,CHN,incomecat,transfers,urban,D10,6.45849
latest,CHN,incomecat,transfers,rural,D10,13.43209
latest,CHN,incomecat,other,urban,D1,0
latest,CHN,incomecat,other,rural,D1,0
latest,CHN,incomecat,other,urban,D2,0
latest,CHN,incomecat,other,rural,D2,0
latest,CHN,incomecat,other,urban,D3,-1.00000000058387e-05
latest,CHN,incomecat,other,rural,D3,0
latest,CHN,incomecat,other,urban,D4,0
latest,CHN,incomecat,other,rural,D4,1.00000000058387e-05
latest,CHN,incomecat,other,urban,D5,1.00000000058387e-05
latest,CHN,incomecat,other,rural,D5,0
latest,CHN,incomecat,other,urban,D6,0
latest,CHN,incomecat,other,rural,D6,1.00000000058387e-05
latest,CHN,incomecat,other,urban,D7,0
latest,CHN,incomecat,other,rural,D7,0
latest,CHN,incomecat,other,urban,D8,0
latest,CHN,incomecat,other,rural,D8,1.00000000058387e-05
latest,CHN,incomecat,other,urban,D9,0
latest,CHN,incomecat,other,rural,D9,-1.00000000058387e-05
latest,CHN,incomecat,other,urban,D10,1.00000000058387e-05
latest,CHN,incomecat,other,rural,D10,-1.00000000058387e-05
latest,CHN,savings_rate,,urban,D1,77.99689
latest,CHN,savings_rate,,rural,D1,-229.7354
latest,CHN,savings_rate,,urban,D2,-26.04804
latest,CHN,savings_rate,,rural,D2,-8.06677
latest,CHN,savings_rate,,urban,D3,-1.87451
latest,CHN,savings_rate,,rural,D3,11.5735
latest,CHN,savings_rate,,urban,D4,8.46972
latest,CHN,savings_rate,,rural,D4,24.9174
latest,CHN,savings_rate,,urban,D5,17.20053
latest,CHN,savings_rate,,rural,D5,30.97606
latest,CHN,savings_rate,,urban,D6,22.58593
latest,CHN,savings_rate,,rural,D6,40.93049
latest,CHN,savings_rate,,urban,D7,28.68841
latest,CHN,savings_rate,,rural,D7,38.43893
latest,CHN,savings_rate,,urban,D8,31.30329
latest,CHN,savings_rate,,rural,D8,48.93103
latest,CHN,savings_rate,,urban,D9,34.73855
latest,CHN,savings_rate,,rural,D9,52.5305
latest,CHN,savings_rate,,urban,D10,42.53404
latest,CHN,savings_rate,,rural,D10,68.36712
latest,CHN,educat,No education,urban,D1,4.28216
latest,CHN,educat,No education,rural,D1,8.28765
latest,CHN,educat,No education,urban,D2,3.97276
latest,CHN,educat,No education,rural,D2,7.14101
latest,CHN,educat,No education,urban,D3,3.30006
latest,CHN,educat,No education,rural,D3,5.83415
latest,CHN,educat,No education,urban,D4,3.12379
latest,CHN,educat,No education,rural,D4,5.31539
latest,CHN,educat,No education,urban,D5,2.98459
latest,CHN,educat,No education,rural,D5,4.12485
latest,CHN,educat,No education,urban,D6,2.45394
latest,CHN,educat,No education,rural,D6,4.07675
latest,CHN,educat,No education,urban,D7,1.98783
latest,CHN,educat,No education,rural,D7,2.8576
latest,CHN,educat,No education,urban,D8,1.37523
latest,CHN,educat,No education,rural,D8,3.87842
latest,CHN,educat,No education,urban,D9,1.13188
latest,CHN,educat,No education,rural,D9,4.93004
latest,CHN,educat,No education,urban,D10,0.7963
latest,CHN,educat,No education,rural,D10,3.47127
latest,CHN,educat,Primary Education,urban,D1,17.77854
latest,CHN,educat,Primary Education,rural,D1,25.71148
latest,CHN,educat,Primary Education,urban,D2,17.81938
latest,CHN,educat,Primary Education,rural,D2,25.69811
latest,CHN,educat,Primary Education,urban,D3,16.66064
latest,CHN,educat,Primary Education,rural,D3,23.61528
latest,CHN,educat,Primary Education,urban,D4,14.48448
latest,CHN,educat,Primary Education,rural,D4,21.15226
latest,CHN,educat,Primary Education,urban,D5,12.42799
latest,CHN,educat,Primary Education,rural,D5,20.16105
latest,CHN,educat,Primary Education,urban,D6,10.63941
latest,CHN,educat,Primary Education,rural,D6,18.64548
latest,CHN,educat,Primary Education,urban,D7,11.01132
latest,CHN,educat,Primary Education,rural,D7,17.60972
latest,CHN,educat,Primary Education,urban,D8,7.96306
latest,CHN,educat,Primary Education,rural,D8,14.82915
latest,CHN,educat,Primary Education,urban,D9,7.09873
latest,CHN,educat,Primary Education,rural,D9,17.10875
latest,CHN,educat,Primary Education,urban,D10,4.3367
latest,CHN,educat,Primary Education,rural,D10,16.42574
latest,CHN,educat,Secondary Education,urban,D1,54.87031
latest,CHN,educat,Secondary Education,rural,D1,44.50708
latest,CHN,educat,Secondary Education,urban,D2,51.98938
latest,CHN,educat,Secondary Education,rural,D2,45.5379
latest,CHN,educat,Secondary Education,urban,D3,55.28061
latest,CHN,educat,Secondary Education,rural,D3,49.38942
latest,CHN,educat,Secondary Education,urban,D4,55.8067
latest,CHN,educat,Secondary Education,rural,D4,51.94815
latest,CHN,educat,Secondary Education,urban,D5,56.24444
latest,CHN,educat,Secondary Education,rural,D5,53.33471
